iter	MultiClass
0	1.663476933
1	1.560994663
2	1.47886433
3	1.414965472
4	1.355653285
5	1.301065157
6	1.258152924
7	1.216128647
8	1.181244137
9	1.146470555
10	1.114434941
11	1.088162364
12	1.067592644
13	1.048141205
14	1.028207331
15	1.011308879
16	0.9957298228
17	0.982361783
18	0.9683764989
19	0.9573818474
20	0.9444488294
21	0.9316906078
22	0.9192826414
23	0.9087082422
24	0.9019595484
25	0.8930175582
26	0.8849872896
27	0.8773568383
28	0.8726159644
29	0.8647860323
30	0.8579823746
31	0.8522816131
32	0.8464215185
33	0.8415119817
34	0.8358245306
35	0.8291100156
36	0.8250434812
37	0.8192936068
38	0.8145661618
39	0.810352131
40	0.8068860141
41	0.8031434565
42	0.799674908
43	0.7946900583
44	0.7914945886
45	0.7882775702
46	0.7861659286
47	0.7827927242
48	0.7810493047
49	0.7773694318
50	0.7723224035
