iter	Passed	Remaining
0	9	472
1	20	498
2	31	506
3	43	516
4	55	508
5	66	496
6	74	469
7	82	443
8	90	423
9	99	405
10	107	390
11	115	375
12	123	361
13	132	349
14	140	336
15	148	324
16	156	312
17	166	305
18	175	295
19	184	285
20	192	274
21	200	263
22	208	254
23	217	244
24	226	235
25	234	225
26	243	216
27	251	206
28	259	197
29	268	187
30	276	178
31	284	168
32	292	159
33	300	150
34	309	141
35	317	132
36	325	123
37	334	114
38	343	105
39	353	97
40	361	88
41	369	79
42	377	70
43	385	61
44	393	52
45	401	43
46	409	34
47	417	26
48	425	17
49	433	8
50	441	0
3	0
